Am I pronouncing it correctly?;ออกเสียงถูกไหม<br />òk sĭang tòok mái
Are they the same?;เหมือนกันไหม<br />mĕuan gan mái
Are you allergic to anything?;คุณแพ้อะไรไหม<br />kun páe a-rai mái
Are you free tonight?;คืนนี้ว่างไหม<br />keun née wâang mái
Are you ready?;พร้อมไหม / พร้อมหรือยัง<br />próm mái / próm rĕu yang
Are you sure?;แน่ใจหรือเปล่า / แน่ใจนะ<br />nâe jai rĕu bplàao / nâe jai ná
Are you waiting for someone?;รอใครอยู่หรือเปล่า<br />ror krai yòo rĕu bplàao
Are you working today?;วันนี้ทำงานหรือเปล่า / ไหม<br />wan née tam ngaan rĕu bplàao / mái
Are you working tomorrow?;พรุ่งนี้ทำงานหรือเปล่า / ไหม<br />prôong née tam ngaan rĕu bplàao / mái
May I have the bill, please?;เช็คบิลด้วย ครับ/ค่ะ<br />chék bin dûay kráp/kâ
May I try it on?;ขอลองหน่อยได้ไหม ครับ/คะ<br />kŏr lông nòi dâai mái kráp/ká
May I use your phone?;ขอใช้โทรศัพท์คุณหน่อยได้ไหม<br />kŏr chái toh-rá-sap kun nòi dâai mái
May I have the menu, please?;ขอเมนูหน่อย ครับ/คะ<br />kŏr may-noo nòi kráp/ká
May I have some more bread, please?;ขอขนมปังอีกได้ไหม ครับ/คะ<br />kŏr kà-nŏm pang èek dâai mái kráp/ká
May I sit over there?;นั่งตรงโน้นได้ไหม ครับ/คะ<br />nâng dtrong nóhn dâai mái kráp/ká
May you carry this for me?;ถือให้หน่อยได้ไหม ครับ/คะ<br />tĕu hâi nòi dâai mái kráp/ká
Would you do me a favor?;ช่วยอะไรหน่อยได้ไหม ครับ/คะ<br />chûay a-rai nòi dâai mái kráp/ká
Can you speak louder, please?;พูดดังอีกนิดได้ไหม ครับ/คะ<br />pôot dang èek nít dâai mái kráp/ká
Can you speak slowly, please?;พูดช้าๆหน่อยได้ไหม ครับ/คะ<br />pôot cháa cháa nòi dâai mái kráp/ká
Would you translate this for me?;ช่วยแปลนี่ให้หน่อยได้ไหม<br />chûay bplae nêe hâi nòi dâai mái
Do you have a boyfriend/girlfriend?;มีแฟนหรือยัง<br />mee faen rĕu yang
Do you have this in size 11?;แบบนี้เบอร์สิบเอ็ดมีไหม<br />bàep née ber sìp èt mee mái
Do you know how to cook?;ทำกับข้าวเป็นไหม<br />tam gàp khâao bpen mái
Do you know how to drive?;ขับรถเป็นไหม<br />kàp rót bpen mái
Do you know how to swim?;ว่ายน้ำเป็นไหม<br />wâai náam bpen mái
Do you like to watch TV?;ชอบดูทีวีไหม<br />chôp doo tee-wee mái
Do you play any sports?;เล่นกีฬาอะไรไหม<br />lâyn gee-laa a-rai mái
Do you speak English?;พูดภาษาอังกฤษเป็นไหม<br />pôot paa-săa ang-grit bpen mái
Do you take credit cards?;รับบัตรเครดิตไหม<br />ráp bàt kay-dìt mái
Does anyone here speak English?;(ที่นี่) มีใครพูดภาษาอังกฤษเป็นไหม<br />(têe nêe) mee krai pôot paa-săa ang-grit bpen mái
Don't do that.;อย่าทำแบบนั้น<br />yàa tam bàep nán
Don't worry.;ไม่ต้องห่วง<br />mâi dtông hùang
What did you say?;คุณ (พูด) ว่าอะไรนะ<br />kun pôot wâa a-rai ná
Forget it. ( used to tell someone that something is not important and not to worry about it ) ;ช่างมันเหอะ<br />châng man hùh
Follow me.;ตาม ผม/ฉัน มา<br />dtaam pŏm/chán maa
From time to time.;บางครั้ง<br />baang kráng
Happy birthday.;สุขสันต์วันเกิด<br />sùk săn wan gèrt
Have you done this before? ;เคยทำแบบนี้มาก่อนหรือเปล่า<br />koie tam bàep née maa gòn rĕu bplàao
Have you eaten yet?;กินอะไรหรือยัง<br />gin a-rai rĕu yang
Have you seen this movie?;เคยดูหนังเรื่องนี้หรือยัง<br />koie doo năng rêuang née rĕu yang
He never gives me anything.;เขาไม่เคยให้อะไรฉันเลย<br />kháo mâi koie hâi a-rai chán loie
How do you know?;รู้ได้ยังไง<br />róo dâai yang ngai
How do you pronounce that?;ออกเสียงยังไง<br />òk sĭang yang ngai
How do you say it in Thai?;ภาษาไทยพูดว่ายังไง<br />paa-săa tai pôot wâa yang ngai
How do you spell it?;สะกดยังไง<br />sà-gòt yang ngai
Do you want me to help?;ให้ ผม/ฉัน ช่วยไหม<br />hâi pŏm/chán chûay mái
I can do it with my eyes shut.;หลับตาทำยังได้เลย<br />làp dtaa tam yang dâai loie
Anyone can do it.;ใครๆก็ทำได้<br />krai krai gôr tam dâai
I can't eat anymore, thank you;ทานไม่ไหวแล้วครับ/ค่ะ ขอบคุณ ครับ/ค่ะ<br />taan mâi wăai láew kráp/kâ kòp kun kráp/kâ
I don't like it when people give me orders.;ฉันไม่ชอบให้ใครมาสั่ง<br />chăn mâi chôp hâi krai maa sàng
a whole bunch of lies!, a whole collection or series of lies, a pack of lies.;โกหกทั้งเพ!<br />go-hòk táng pay
I don't want to be seated next to a child.;ไม่นั่งใกล้ๆเด็กนะ ครับ/คะ<br />mâi nâng glâi glâi dèk ná kráp/ká
Can I go out with my friends tonight?;คืนนี้ผมขอออกไปเที่ยวกับเพื่อนๆได้ไหม<br />keun née pŏm kŏr òk bpai tîeow gàp pêuan pêuan dâai mái
Is it enough?;พอมั้ย<br />por mái
I can't find my glasses, have you seen them?;ฉันหาแว่นตาผมไม่เจอ คุณเห็นมั่งไหม<br />chăn hăa wâen dtaa pŏm mâi jer kun hĕn mâng mái
Have we met before?;เราเคยเจอกันมาก่อนหรือเปล่า<br />rao koie jer gan maa gòn rĕu bplàao
I almost didn't recognize you.;เกือบจำคุณไม่ได้แน่ะ<br />geup jam kun mâai dâai nàe
Sorry to keep you waiting.;ขอโทษที่ให้รอ<br />kŏr tôht têe hâi ror
I am in a hurry.;กำลังรีบ<br />gam lang rêep
Take your time.;ตามสบาย ไม่ต้องรีบ<br />dtaam sà baai mâi dtông rêep
Stop it right now !;หยุดเดี๋ยวนี้นะ<br />yùt diĕow née ná
Don't forget.;อย่าลืมนะ<br />yàa leum ná
In your dreams!;ฝันไปเถอะ<br />făn bpai tùh
Don't even think about it.;อย่าแม้แต่จะคิด<br />yàa máe dtàe jà kít
Follow your heart.;ทำตามที่หัวใจคุณบอก<br />tam dtaam têe hŭa jai kun bòk
